stage_ratio,ring_pin_count,lobe_count,material_name,ring_pitch_radius_mm,ring_pitch_diameter_mm,ring_roller_radius_mm,ring_roller_diameter_mm,eccentricity_mm,eccentricity_ratio,disc_thickness_mm,estimated_disc_outer_diameter_mm,output_pin_count,output_pin_circle_radius_mm,output_pin_circle_diameter_mm,output_roller_diameter_mm,output_hole_diameter_mm,ring_pin_center_spacing_mm,output_pin_center_spacing_mm,radial_margin_to_ring_mm,total_tangential_force_N,force_per_loaded_lobe_N,force_per_loaded_output_pin_N,estimated_output_speed_rpm,allowable_bearing_mpa,allowable_shear_mpa,allowable_bending_mpa,bearing_stress_mpa,output_pin_shear_stress_mpa,lobe_shear_stress_mpa,output_hole_ligament_bending_stress_mpa,sf_bearing,sf_output_pin_shear,sf_lobe_shear,sf_ligament_bending,minimum_strength_sf,corrected_endurance_limit_mpa,bearing_goodman_sf,output_pin_shear_goodman_sf,lobe_shear_goodman_sf,ligament_bending_goodman_sf,minimum_fatigue_sf,estimated_total_volume_mm3,estimated_total_mass_kg,score,notes
87,88,87,4140 Q&T Steel,80.0,160.0,1.6,3.2,1.2,0.015,28.0,154.4,4,48.0,96.0,29.868,32.768,5.711,67.882,12.816,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,14.947,17.84,186.012,8.69,21.911,11.83,1.135,37.689,1.135,305.449,26.309,12.726,1.221,45.252,1.221,528093.198,4.145532,21.795774,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,2.0,4.0,1.2,0.015,28.0,153.6,4,48.0,96.0,29.868,32.768,5.711,67.882,12.416,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,14.947,17.84,186.012,8.69,21.911,11.83,1.135,37.689,1.135,305.449,26.309,12.726,1.221,45.252,1.221,533821.453,4.190498,21.877056,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,1.6,3.2,1.2,0.015,29.0,154.4,4,48.0,96.0,29.868,32.768,5.711,67.882,12.816,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,14.431,17.84,179.598,8.39,22.694,11.83,1.175,39.035,1.175,305.449,27.248,12.726,1.264,46.868,1.264,546953.67,4.293586,21.881298,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,2.0,4.0,1.2,0.015,29.0,153.6,4,48.0,96.0,29.868,32.768,5.711,67.882,12.416,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,14.431,17.84,179.598,8.39,22.694,11.83,1.175,39.035,1.175,305.449,27.248,12.726,1.264,46.868,1.264,552886.505,4.340159,21.964627,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,1.6,3.2,1.2,0.015,28.0,154.4,4,48.0,96.0,27.153,30.053,5.711,67.882,14.174,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,16.441,21.587,186.012,7.487,19.919,9.777,1.135,43.743,1.135,305.449,23.917,10.517,1.221,52.521,1.221,529478.525,4.156406,21.972795,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,1.6,3.2,1.2,0.015,30.0,154.4,4,48.0,96.0,29.868,32.768,5.711,67.882,12.816,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,13.95,17.84,173.611,8.11,23.476,11.83,1.216,40.381,1.216,305.449,28.188,12.726,1.308,48.484,1.308,565814.141,4.441641,21.973695,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,2.4,4.8,1.2,0.015,28.0,152.8,4,48.0,96.0,29.868,32.768,5.711,67.882,12.016,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,14.947,17.84,186.012,8.69,21.911,11.83,1.135,37.689,1.135,305.449,26.309,12.726,1.221,45.252,1.221,542054.939,4.255131,21.983391,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,1.6,3.2,1.2,0.015,29.0,154.4,4,48.0,96.0,27.153,30.053,5.711,67.882,14.174,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,15.874,21.587,179.598,7.229,20.631,9.777,1.175,45.305,1.175,305.449,24.771,10.517,1.264,54.397,1.264,548388.472,4.30485,22.048506,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,2.0,4.0,1.2,0.015,28.0,153.6,4,48.0,96.0,27.153,30.053,5.711,67.882,13.774,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,16.441,21.587,186.012,7.487,19.919,9.777,1.135,43.743,1.135,305.449,23.917,10.517,1.221,52.521,1.221,535206.779,4.201373,22.054078,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,2.0,4.0,1.2,0.015,30.0,153.6,4,48.0,96.0,29.868,32.768,5.711,67.882,12.416,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,13.95,17.84,173.611,8.11,23.476,11.83,1.216,40.381,1.216,305.449,28.188,12.726,1.308,48.484,1.308,571951.557,4.48982,22.059069,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,1.6,3.2,1.2,0.015,31.0,154.4,4,48.0,96.0,29.868,32.768,5.711,67.882,12.816,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,13.5,17.84,168.011,7.849,24.259,11.83,1.256,41.727,1.256,305.449,29.127,12.726,1.351,50.101,1.351,584674.612,4.589696,22.072299,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,2.4,4.8,1.2,0.015,29.0,152.8,4,48.0,96.0,29.868,32.768,5.711,67.882,12.016,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,14.431,17.84,179.598,8.39,22.694,11.83,1.175,39.035,1.175,305.449,27.248,12.726,1.264,46.868,1.264,561414.044,4.4071,22.073902,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,1.6,3.2,1.2,0.015,30.0,154.4,4,48.0,96.0,27.153,30.053,5.711,67.882,14.174,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,15.345,21.587,173.611,6.988,21.342,9.777,1.216,46.867,1.216,305.449,25.625,10.517,1.308,56.273,1.308,567298.419,4.453293,22.131777,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,2.0,4.0,1.2,0.015,29.0,153.6,4,48.0,96.0,27.153,30.053,5.711,67.882,13.774,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,15.874,21.587,179.598,7.229,20.631,9.777,1.175,45.305,1.175,305.449,24.771,10.517,1.264,54.397,1.264,554321.307,4.351422,22.131835,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,2.0,4.0,1.2,0.015,31.0,153.6,4,48.0,96.0,29.868,32.768,5.711,67.882,12.416,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,13.5,17.84,168.011,7.849,24.259,11.83,1.256,41.727,1.256,305.449,29.127,12.726,1.351,50.101,1.351,591016.608,4.63948,22.159718,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,2.4,4.8,1.2,0.015,28.0,152.8,4,48.0,96.0,27.153,30.053,5.711,67.882,13.374,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,16.441,21.587,186.012,7.487,19.919,9.777,1.135,43.743,1.135,305.449,23.917,10.517,1.221,52.521,1.221,543440.265,4.266006,22.160412,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,2.4,4.8,1.2,0.015,30.0,152.8,4,48.0,96.0,29.868,32.768,5.711,67.882,12.016,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,13.95,17.84,173.611,8.11,23.476,11.83,1.216,40.381,1.216,305.449,28.188,12.726,1.308,48.484,1.308,580773.149,4.559069,22.171285,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,1.6,3.2,1.2,0.015,32.0,154.4,4,48.0,96.0,29.868,32.768,5.711,67.882,12.816,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,13.078,17.84,162.76,7.603,25.041,11.83,1.297,43.073,1.297,305.449,30.067,12.726,1.395,51.717,1.395,603535.084,4.73775,22.176527,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,1.6,3.2,1.2,0.015,28.0,154.4,4,44.0,88.0,27.379,30.279,5.711,62.225,18.06,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,16.305,21.231,186.012,10.498,20.085,9.941,1.135,31.195,1.135,305.449,24.116,10.693,1.221,37.456,1.221,529363.081,4.1555,22.210337,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,1.6,3.2,1.2,0.015,28.0,154.4,4,48.0,96.0,24.438,27.338,5.711,67.882,15.531,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,18.268,26.65,186.012,6.518,17.927,7.919,1.135,50.248,1.135,305.449,21.525,8.519,1.221,60.331,1.221,530863.851,4.167281,22.216246,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
87,88,87,4140 Q&T Steel,80.0,160.0,2.0,4.0,1.2,0.015,30.0,153.6,4,48.0,96.0,27.153,30.053,5.711,67.882,13.774,37500.0,12500.0,12500.0,20.689655,327.5,211.056,327.5,15.345,21.587,173.611,6.988,21.342,9.777,1.216,46.867,1.216,305.449,25.625,10.517,1.308,56.273,1.308,573435.835,4.501471,22.217151,Constraint-driven sizing with static and fatigue checks; score prioritizes lower assembly volume among feasible designs.
